facility_id,slug,facility_name,county,city,agency,facility_type,street,zip,last_verified,field_status,subarea_id,subarea_name,access,federal_classification,federal_confidence,california_classification,california_confidence,recording_status,recording_summary,restriction_activities,restriction_statuses,restriction_summaries,indoor_space_type,privacy_context,hipaa_posture,facility_privacy_responsibility,visitor_privacy_responsibility,privacy_recording_effect,rights_risk_signals,enforcement_event_count,enforcement_assessments,unresolved_reason
CA-013-F0001,concord-library,Concord Library,Contra Costa County,Concord,Contra Costa County Library,PUBLIC_LIBRARY,2900 Salvio Street,94519,2026-09-23,PRE_FIELD,S003,Library / Civic Center connective pedestrian walkway,PUBLIC,TPF,HIGH,TPF,HIGH,NO_GENERAL_BAN_LOCATED,No branch-wide patron-camera rule was located online.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,
CA-013-F0001,concord-library,Concord Library,Contra Costa County,Concord,Contra Costa County Library,PUBLIC_LIBRARY,2900 Salvio Street,94519,2026-09-23,PRE_FIELD,S004,Front Salvio public parking lot,PUBLIC,TPF,HIGH,TPF,HIGH,SEPARATE_ANALYSIS,"Forum status does not eliminate traffic, obstruction, vehicle, privacy, or other valid rules.",RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,
CA-013-F0001,concord-library,Concord Library,Contra Costa County,Concord,Contra Costa County Library,PUBLIC_LIBRARY,2900 Salvio Street,94519,2026-09-23,PRE_FIELD,S005,Rear Parkside / Civic Center public lot,PUBLIC,TPF,MEDIUM,TPF,MEDIUM,SEPARATE_ANALYSIS,Recording remains subject-specific and rule-specific.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,
CA-013-F0001,concord-library,Concord Library,Contra Costa County,Concord,Contra Costa County Library,PUBLIC_LIBRARY,2900 Salvio Street,94519,2026-09-23,PRE_FIELD,S006,"Ordinary lobby, stacks, reading and service areas",PUBLIC,LPF,MEDIUM,UNRESOLVED,NONE,NO_GENERAL_BAN_LOCATED,"LPF status does not itself establish a right to film patrons, screens, staff interactions or private conversations.",RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,"Recording can be First Amendment-protected activity in this public-access indoor subarea. No material general recording prohibition is established in the current record; any later claimed restriction must identify its legal source and survive the applicable forum, privacy, and activity-specific constitutional analysis.",GENERAL_SHARED_INTERIOR,ROUTINE_SENSITIVE_INFORMATION_POSSIBLE,NOT_INDICATED,"The library retains responsibility for safeguarding patron records, account information, staff systems, and other confidential material under laws and policies that apply to the library.",A lawful visitor does not assume the library's confidentiality or information-security duties merely by being present. Any duty imposed on the visitor must come from law or a constitutionally valid rule that applies directly to the visitor.,"Possible screens, transactions, or private conversations may support targeted restrictions. They do not, by themselves, establish a blanket prohibition on recording the ordinary public interior.",,0,,California Speech Clause treatment of the ordinary interior is not independently hardened.
CA-013-F0001,concord-library,Concord Library,Contra Costa County,Concord,Contra Costa County Library,PUBLIC_LIBRARY,2900 Salvio Street,94519,2026-09-23,PRE_FIELD,S007,Concord meeting room,CONDITIONED_PUBLIC,LPF,HIGH,UNRESOLVED,NONE,SEPARATE_ANALYSIS,Meeting-room rules and the event context govern; the room does not inherit ordinary-library recording assumptions.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,California Speech Clause label is not necessary to the current federal LPF classification.
CA-013-F0001,concord-library,Concord Library,Contra Costa County,Concord,Contra Costa County Library,PUBLIC_LIBRARY,2900 Salvio Street,94519,2026-09-23,PRE_FIELD,S008,Self-Service Sunday interior,CONDITIONED_PUBLIC,LPF,MEDIUM,UNRESOLVED,NONE,UNRESOLVED,"The agreement does not state a general camera ban, but incorporated rules and current signs may matter.",RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,"Recording can be First Amendment-protected activity in this public-access indoor subarea. No material general recording prohibition is established in the current record; any later claimed restriction must identify its legal source and survive the applicable forum, privacy, and activity-specific constitutional analysis.",PURPOSE_LIMITED_INTERIOR,ROUTINE_SENSITIVE_INFORMATION_POSSIBLE,NOT_INDICATED,The library remains responsible for safeguarding protected patron/account information during self-service access and for designing reasonable privacy controls around systems and records.,"The visitor does not inherit the library's confidentiality duties merely by entering under the self-service access program, although valid agreement terms and independent privacy law can apply directly.","The special access agreement and current signs must be checked, but privacy concerns do not automatically convert the self-service interior into a blanket no-camera zone.",,0,,Recording effect and California classification under the special access regime remain unresolved.
CA-013-F0001,concord-library,Concord Library,Contra Costa County,Concord,Contra Costa County Library,PUBLIC_LIBRARY,2900 Salvio Street,94519,2026-09-23,PRE_FIELD,S009,Staff / restricted spaces,RESTRICTED,NOT_PUBLIC,HIGH,NOT_PUBLIC,HIGH,NOT_APPLICABLE,No ordinary public-area inference applies.,ACCESS_REMOVAL,NOT_APPLICABLE,This subarea is classified outside the ordinary public-access channel. Any disputed exclusion still turns on the actual boundary and access authority; no public-forum permission is inferred.,,,,,,,,0,,
CA-013-F0004,concord-police,Concord Police Headquarters,Contra Costa County,Concord,City of Concord Police Department,POLICE_HEADQUARTERS,1350 Galindo Street,94520,2026-09-23,PRE_FIELD,S001,Ordinary Galindo municipal sidewalk,PUBLIC,TPF,HIGH,TPF,HIGH,STRONG_ACTIVITY_PROTECTION,"Recording public police activity from an ordinary lawful public vantage receives strong protection, subject to noninterference and other valid rules.",RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,"No material recording prohibition is established in the current record for this defined activity/location, and affirmative recording authority is identified. Any later claimed restriction must be tested rather than presumed valid.",,,,,,,,0,,
CA-013-F0004,concord-police,Concord Police Headquarters,Contra Costa County,Concord,City of Concord Police Department,POLICE_HEADQUARTERS,1350 Galindo Street,94520,2026-09-23,PRE_FIELD,S002,Facility-controlled front approach / parking,PUBLIC,NPF,MEDIUM,UNRESOLVED,NONE,SEPARATE_ANALYSIS,Exact location/control and any actual rule matter.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,Exact footprint/control and California treatment remain open.
CA-013-F0004,concord-police,Concord Police Headquarters,Contra Costa County,Concord,City of Concord Police Department,POLICE_HEADQUARTERS,1350 Galindo Street,94520,2026-09-23,PRE_FIELD,S003,Ordinary public lobby / Community Service Desk,PUBLIC,NPF,HIGH,UNRESOLVED,NONE,STRONG_ACTIVITY_PROTECTION,"For public-facing officers from a lawful, noninterfering vantage, Policy 423, §148(g), Fordyce and Wilson materially strengthen the recording analysis; no separate lobby-wide ban was located online.",RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,"Recording can be First Amendment-protected activity in this public-access indoor subarea. No material general recording prohibition is established in the current record; any later claimed restriction must identify its legal source and survive the applicable forum, privacy, and activity-specific constitutional analysis.",LOBBY,CONFIDENTIAL_INTERACTION_POSSIBLE,NOT_INDICATED,"The department retains responsibility for safeguarding protected records, screens, victim/witness information, secure operations, and other confidential material under laws and policies that apply to the department.",A lawful lobby visitor does not inherit the department's confidentiality duties merely by being present. Independent privacy law or a constitutionally valid targeted restriction can still apply directly to particular conduct.,General privacy concerns do not override the strong officer-recording authorities or create a blanket lobby camera ban. The department must identify the actual privacy/security interest and connect any restriction to it.,,0,,California Speech Clause classification remains genuinely unresolved.
CA-013-F0004,concord-police,Concord Police Headquarters,Contra Costa County,Concord,City of Concord Police Department,POLICE_HEADQUARTERS,1350 Galindo Street,94520,2026-09-23,PRE_FIELD,S004,Records counter,PUBLIC,NPF,HIGH,UNRESOLVED,NONE,SEPARATE_ANALYSIS,Protected records/screens and confidential interactions can support narrower restrictions; exact subject and rule matter.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,"Recording can be First Amendment-protected activity in this public-access indoor subarea. No material general recording prohibition is established in the current record; any later claimed restriction must identify its legal source and survive the applicable forum, privacy, and activity-specific constitutional analysis.",PUBLIC_SERVICE_COUNTER,CONFIDENTIAL_INTERACTION_LIKELY,NOT_INDICATED,"The department is responsible for protecting records, screens, reports, and confidential interactions exposed at the counter and for using appropriate operational safeguards.","A visitor does not become the custodian of police records or confidential information merely by standing lawfully at the public counter. Laws that apply directly to the visitor, such as confidential-communication law where its elements are met, remain separate.","The counter presents a stronger factual basis for targeted privacy restrictions than the open lobby generally, but the scope must track the actual protected information or interaction rather than automatically extend to all recording.",,0,,California interior classification remains unresolved.
CA-013-F0004,concord-police,Concord Police Headquarters,Contra Costa County,Concord,City of Concord Police Department,POLICE_HEADQUARTERS,1350 Galindo Street,94520,2026-09-23,PRE_FIELD,S005,Officer performing public-facing official duties from a lawful lobby vantage,PUBLIC,NPF,HIGH,UNRESOLVED,NONE,STRONG_ACTIVITY_PROTECTION,Policy 423 + Penal Code §148(g) + Fordyce + local Wilson provide strong activity-specific support for lawful noninterfering recording.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,"No material recording prohibition is established in the current record for this defined activity/location, and affirmative recording authority is identified. Any later claimed restriction must be tested rather than presumed valid.",,,,,,,,0,,California forum label is unresolved but does not erase the separate statutory/policy/activity protections.
CA-013-F0004,concord-police,Concord Police Headquarters,Contra Costa County,Concord,City of Concord Police Department,POLICE_HEADQUARTERS,1350 Galindo Street,94520,2026-09-23,PRE_FIELD,S006,Victim / witness / private-report interaction,PUBLIC,NPF,HIGH,UNRESOLVED,NONE,SEPARATE_ANALYSIS,Penal Code §632 confidentiality and narrower privacy protections may materially alter the recording analysis depending on objective privacy facts.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,Recording result is fact-specific to privacy/acoustic circumstances and any actual restriction.
CA-013-F0004,concord-police,Concord Police Headquarters,Contra Costa County,Concord,City of Concord Police Department,POLICE_HEADQUARTERS,1350 Galindo Street,94520,2026-09-23,PRE_FIELD,S007,Community Meeting Room,CONDITIONED_PUBLIC,LPF,HIGH,UNRESOLVED,NONE,SEPARATE_ANALYSIS,Meeting-room contract and event rules govern; the room does not inherit lobby treatment.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,"California label and full contract terms remain unresolved, not the federal LPF project classification."
CA-013-F0004,concord-police,Concord Police Headquarters,Contra Costa County,Concord,City of Concord Police Department,POLICE_HEADQUARTERS,1350 Galindo Street,94520,2026-09-23,PRE_FIELD,S008,Controlled doors / employee and operational areas,RESTRICTED,NOT_PUBLIC,HIGH,NOT_PUBLIC,HIGH,NOT_APPLICABLE,No public-lobby recording inference applies.,ACCESS_REMOVAL,NOT_APPLICABLE,This subarea is classified outside the ordinary public-access channel. Any disputed exclusion still turns on the actual boundary and access authority; no public-forum permission is inferred.,,,,,,,,0,,
CA-013-F0002,walnut-creek-library,Walnut Creek Library,Contra Costa County,Walnut Creek,Contra Costa County Library,PUBLIC_LIBRARY,1644 North Broadway,94596,2026-09-23,PRE_FIELD,S001,North Broadway / Lincoln ordinary municipal sidewalks,PUBLIC,TPF,HIGH,TPF,HIGH,SEPARATE_ANALYSIS,Ordinary public-place recording rules apply; exact conduct still matters.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,
CA-013-F0002,walnut-creek-library,Walnut Creek Library,Contra Costa County,Walnut Creek,Contra Costa County Library,PUBLIC_LIBRARY,1644 North Broadway,94596,2026-09-23,PRE_FIELD,S002,Broadway-Lincoln civic plaza / formal exterior approach,PUBLIC,TPF,HIGH,TPF,HIGH,NO_GENERAL_BAN_LOCATED,No branch-wide patron-camera rule was located online.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,
CA-013-F0002,walnut-creek-library,Walnut Creek Library,Contra Costa County,Walnut Creek,Contra Costa County Library,PUBLIC_LIBRARY,1644 North Broadway,94596,2026-09-23,PRE_FIELD,S003,Civic Park entrance / connective route and Civic Park proper,PUBLIC,TPF,HIGH,TPF,HIGH,SEPARATE_ANALYSIS,"Ordinary park, event, privacy and conduct rules remain applicable.",RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,
CA-013-F0002,walnut-creek-library,Walnut Creek Library,Contra Costa County,Walnut Creek,Contra Costa County Library,PUBLIC_LIBRARY,1644 North Broadway,94596,2026-09-23,PRE_FIELD,S004,Library surface lot,PUBLIC,TPF,HIGH,TPF,HIGH,SEPARATE_ANALYSIS,Traffic and obstruction rules remain independent.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,
CA-013-F0002,walnut-creek-library,Walnut Creek Library,Contra Costa County,Walnut Creek,Contra Costa County Library,PUBLIC_LIBRARY,1644 North Broadway,94596,2026-09-23,PRE_FIELD,S005,"Ordinary lobby, stacks, reading and service areas",PUBLIC,LPF,MEDIUM,UNRESOLVED,NONE,NO_GENERAL_BAN_LOCATED,Interior recording remains a distinct activity/rule/privacy question.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,"Recording can be First Amendment-protected activity in this public-access indoor subarea. No material general recording prohibition is established in the current record; any later claimed restriction must identify its legal source and survive the applicable forum, privacy, and activity-specific constitutional analysis.",GENERAL_SHARED_INTERIOR,ROUTINE_SENSITIVE_INFORMATION_POSSIBLE,NOT_INDICATED,"The library retains responsibility for safeguarding patron records, account information, staff systems, and other confidential material under laws and policies that apply to the library.",A lawful visitor does not assume the library's confidentiality or information-security duties merely by being present. Any visitor duty must arise from law or a constitutionally valid rule that applies directly.,"Privacy around screens, transactions, or conversations may justify targeted restrictions; it does not itself establish a general camera prohibition in the ordinary public interior.",,0,,California interior classification remains separately unresolved.
CA-013-F0002,walnut-creek-library,Walnut Creek Library,Contra Costa County,Walnut Creek,Contra Costa County Library,PUBLIC_LIBRARY,1644 North Broadway,94596,2026-09-23,PRE_FIELD,S006,Oak View Room,CONDITIONED_PUBLIC,LPF,HIGH,UNRESOLVED,NONE,SEPARATE_ANALYSIS,Event-specific contract and room rules apply.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,California label remains separate from the strong federal LPF result.
CA-013-F0002,walnut-creek-library,Walnut Creek Library,Contra Costa County,Walnut Creek,Contra Costa County Library,PUBLIC_LIBRARY,1644 North Broadway,94596,2026-09-23,PRE_FIELD,S007,Las Trampas Conference Room,CONDITIONED_PUBLIC,LPF,HIGH,UNRESOLVED,NONE,SEPARATE_ANALYSIS,Current live booking/use rules govern.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,California label remains separate from the strong federal LPF result.
CA-013-F0002,walnut-creek-library,Walnut Creek Library,Contra Costa County,Walnut Creek,Contra Costa County Library,PUBLIC_LIBRARY,1644 North Broadway,94596,2026-09-23,PRE_FIELD,S008,Group study rooms,CONDITIONED_PUBLIC,LPF,MEDIUM,UNRESOLVED,NONE,SEPARATE_ANALYSIS,Narrow purpose and room rules materially matter.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,No close California classification for these study-room rules has been hardened.
CA-013-F0002,walnut-creek-library,Walnut Creek Library,Contra Costa County,Walnut Creek,Contra Costa County Library,PUBLIC_LIBRARY,1644 North Broadway,94596,2026-09-23,PRE_FIELD,S009,Underground public garage,PUBLIC,NPF,MEDIUM,UNRESOLVED,NONE,NO_GENERAL_BAN_LOCATED,NPF status does not create a camera ban; an actual restriction still must be identified.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,California Speech Clause treatment of the public underground garage remains genuinely unresolved.
CA-013-F0002,walnut-creek-library,Walnut Creek Library,Contra Costa County,Walnut Creek,Contra Costa County Library,PUBLIC_LIBRARY,1644 North Broadway,94596,2026-09-23,PRE_FIELD,S010,"Garage stairs, elevators and connective corridors",PUBLIC,NPF,MEDIUM,UNRESOLVED,NONE,SEPARATE_ANALYSIS,Exact segment and any specific rule matter.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,"Recording can be First Amendment-protected activity in this public-access indoor subarea. No material general recording prohibition is established in the current record; any later claimed restriction must identify its legal source and survive the applicable forum, privacy, and activity-specific constitutional analysis.",SHARED_CORRIDOR,NO_SPECIAL_RISK_IDENTIFIED,NOT_INDICATED,The facility remains responsible for any protected information or secure operations it exposes to this public circulation route.,A lawful visitor does not acquire facility confidentiality duties merely by using the public circulation route; independent law may still regulate particular conduct.,No special privacy rationale is established in the current record. Any claimed recording restriction must be identified and tested under the NPF standard and applicable recording law.,,0,,California classification and exact segment boundaries remain open.
CA-013-F0002,walnut-creek-library,Walnut Creek Library,Contra Costa County,Walnut Creek,Contra Costa County Library,PUBLIC_LIBRARY,1644 North Broadway,94596,2026-09-23,PRE_FIELD,S011,Cafe,UNKNOWN,UNRESOLVED,NONE,UNRESOLVED,NONE,UNRESOLVED,Cafe-specific rules cannot be determined without control/access facts.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,Operator/control/access facts are missing.
